split,race_date,R,E,E4,TE,X,won,Horse,NewSplit
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Fst Trk,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,SurTypCon: Dirt Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Dirt Sprint on Sly Trk,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,SurTypCon: Dirt Sprint on Sly Trk
A BIT OF BOTH_var203_SurTypCon: Synth Sprint on Fst Trk,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,SurTypCon: Synth Sprint on Fst Trk
A BIT OF BOTH_var203_SurTypCon: Turf Sprint on Frm Trk,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,SurTypCon: Turf Sprint on Frm Trk
A BIT OF BOTH_var203_SurTypCon: Turf Sprint on Frm Trk,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,SurTypCon: Turf Sprint on Frm Trk
A BIT OF BOTH_var203_SurTypCon: Turf Sprint on Gd Trk,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,SurTypCon: Turf Sprint on Gd Trk
A BIT OF BOTH_var203_SurTypCon: Turf Sprint on Gd Trk,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,SurTypCon: Turf Sprint on Gd Trk
A BIT OF BOTH_var204_Lasix: With Lasix,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,Lasix: With Lasix
