split,race_date,R,E,E4,TE,X,won,Horse,NewSplit
A BIT OF BOTH_var112_Jockey: F Geroux,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,Jockey: F Geroux
A BIT OF BOTH_var112_Jockey: F Geroux,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,Jockey: F Geroux
A BIT OF BOTH_var112_Jockey: G Almodovar,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,Jockey: G Almodovar
"A BIT OF BOTH_var112_Jockey: I Ortiz, Jr.",1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,"Jockey: I Ortiz, Jr."
"A BIT OF BOTH_var112_Jockey: I Ortiz, Jr.",2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,"Jockey: I Ortiz, Jr."
"A BIT OF BOTH_var112_Jockey: I Ortiz, Jr.",7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,"Jockey: I Ortiz, Jr."
A BIT OF BOTH_var112_Jockey: L Saez,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Jockey: L Saez
A BIT OF BOTH_var112_Jockey: L Saez,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,Jockey: L Saez
A BIT OF BOTH_var112_Jockey: N Juarez,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,Jockey: N Juarez
A BIT OF BOTH_var112_Jockey: N Juarez,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,Jockey: N Juarez
A BIT OF BOTH_var112_Jockey: P Lopez,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,Jockey: P Lopez
A BIT OF BOTH_var112_Jockey: P Lopez,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,Jockey: P Lopez
A BIT OF BOTH_var112_Jockey: P Lopez,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Jockey: P Lopez
A BIT OF BOTH_var112_Jockey: P Lopez,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,Jockey: P Lopez
A BIT OF BOTH_var112_Jockey: P Lopez,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,Jockey: P Lopez
A BIT OF BOTH_var112_Jockey: P Lopez,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,Jockey: P Lopez
A BIT OF BOTH_var113_Pattern: --,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,Pattern: --
A BIT OF BOTH_var113_Pattern: 010,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,Pattern: 010
A BIT OF BOTH_var113_Pattern: 01X,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,Pattern: 01X
A BIT OF BOTH_var113_Pattern: 0XP,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Pattern: 0XP
A BIT OF BOTH_var113_Pattern: 10X,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,Pattern: 10X
A BIT OF BOTH_var113_Pattern: 1X1,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,Pattern: 1X1
A BIT OF BOTH_var113_Pattern: 1X2,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,Pattern: 1X2
A BIT OF BOTH_var113_Pattern: 1XX,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,Pattern: 1XX
A BIT OF BOTH_var113_Pattern: 2P0,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,Pattern: 2P0
A BIT OF BOTH_var113_Pattern: 31X,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,Pattern: 31X
A BIT OF BOTH_var113_Pattern: P,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,Pattern: P
A BIT OF BOTH_var113_Pattern: P01,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,Pattern: P01
A BIT OF BOTH_var113_Pattern: X01,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,Pattern: X01
A BIT OF BOTH_var113_Pattern: X1X,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,Pattern: X1X
A BIT OF BOTH_var113_Pattern: X2P,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Pattern: X2P
A BIT OF BOTH_var113_Pattern: X31,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,Pattern: X31
A BIT OF BOTH_var113_Pattern: XP,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,Pattern: XP
A BIT OF BOTH_var113_Pattern: XX0,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,Pattern: XX0
A BIT OF BOTH_var114_FormCycle: A1,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,FormCycle: A1
A BIT OF BOTH_var114_FormCycle: B1,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,FormCycle: B1
A BIT OF BOTH_var114_FormCycle: C1,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,FormCycle: C1
A BIT OF BOTH_var114_FormCycle: C1,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,FormCycle: C1
A BIT OF BOTH_var114_FormCycle: C1,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,FormCycle: C1
A BIT OF BOTH_var114_FormCycle: C2,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,FormCycle: C2
A BIT OF BOTH_var114_FormCycle: C2,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,FormCycle: C2
A BIT OF BOTH_var114_FormCycle: C2,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,FormCycle: C2
A BIT OF BOTH_var114_FormCycle: C3,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,FormCycle: C3
A BIT OF BOTH_var114_FormCycle: C3,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,FormCycle: C3
A BIT OF BOTH_var114_FormCycle: C3,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,FormCycle: C3
A BIT OF BOTH_var114_FormCycle: CX,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,FormCycle: CX
A BIT OF BOTH_var114_FormCycle: CX,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,FormCycle: CX
A BIT OF BOTH_var114_FormCycle: CX,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,FormCycle: CX
A BIT OF BOTH_var114_FormCycle: CX,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,FormCycle: CX
A BIT OF BOTH_var114_FormCycle: CX,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,FormCycle: CX
A BIT OF BOTH_var114_FormCycle: CX,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,FormCycle: CX
A BIT OF BOTH_var114_FormCycle: CX,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,FormCycle: CX
A BIT OF BOTH_var200_TrkSur: At CD on Dirt,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,TrkSur: At CD on Dirt
A BIT OF BOTH_var200_TrkSur: At CT on Dirt,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,TrkSur: At CT on Dirt
A BIT OF BOTH_var200_TrkSur: At DEL on Dirt,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,TrkSur: At DEL on Dirt
A BIT OF BOTH_var200_TrkSur: At FG on Turf,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,TrkSur: At FG on Turf
A BIT OF BOTH_var200_TrkSur: At GP on Dirt,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,TrkSur: At GP on Dirt
A BIT OF BOTH_var200_TrkSur: At GP on Dirt,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,TrkSur: At GP on Dirt
A BIT OF BOTH_var200_TrkSur: At GP on Dirt,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,TrkSur: At GP on Dirt
A BIT OF BOTH_var200_TrkSur: At GP on Dirt,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,TrkSur: At GP on Dirt
A BIT OF BOTH_var200_TrkSur: At GP on Dirt,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,TrkSur: At GP on Dirt
A BIT OF BOTH_var200_TrkSur: At GP on Dirt,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,TrkSur: At GP on Dirt
A BIT OF BOTH_var200_TrkSur: At GP on Dirt,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,TrkSur: At GP on Dirt
A BIT OF BOTH_var200_TrkSur: At GP on Dirt,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,TrkSur: At GP on Dirt
A BIT OF BOTH_var200_TrkSur: At KEE on Turf,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,TrkSur: At KEE on Turf
A BIT OF BOTH_var200_TrkSur: At MTH on Turf,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,TrkSur: At MTH on Turf
A BIT OF BOTH_var200_TrkSur: At MTH on Turf,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,TrkSur: At MTH on Turf
